osmid,y,x,street_count,highway,geometry
8507623701,45.4614405,-122.5990714,3,,POINT (-122.5990714 45.4614405)
8523246063,45.466188,-122.5853414,1,,POINT (-122.5853414 45.466188)
8526891262,45.461497,-122.6024238,3,,POINT (-122.6024238 45.461497)
8547399667,45.469349,-122.5893524,3,,POINT (-122.5893524 45.469349)
8547399671,45.4693967,-122.5885226,1,,POINT (-122.5885226 45.4693967)
8552230810,45.4722698,-122.616008,3,,POINT (-122.616008 45.4722698)
8552230812,45.4722714,-122.6152505,1,,POINT (-122.6152505 45.4722714)
8708852763,45.4644772,-122.6015215,3,,POINT (-122.6015215 45.4644772)
8708852766,45.4650108,-122.6015587,1,,POINT (-122.6015587 45.4650108)
8709289021,45.4662423,-122.610024,3,,POINT (-122.610024 45.4662423)
8709289024,45.4662196,-122.6094524,1,,POINT (-122.6094524 45.4662196)
8710449130,45.4698067,-122.6102036,3,,POINT (-122.6102036 45.4698067)
8710449134,45.4693783,-122.6100069,3,,POINT (-122.6100069 45.4693783)
8710449135,45.4696826,-122.6102001,3,,POINT (-122.6102001 45.4696826)
8710449136,45.4696835,-122.6100063,3,,POINT (-122.6100063 45.4696835)
